condition;siblings;parents;hometown;averagebond
1;6;7;5;6
2;6;6;3;5
3;5;6;3;4,666666667
1;5;5;4;4,666666667
2;6;5;4;5
3;5;6;3;4,666666667
2;6;6;6;6
1;5;4;6;5
1;7;5;5;5,666666667
1;7;5;6;6
1;7;6;5;6
2;;7;7;7
1;7;7;6;6,666666667
2;6;5;4;5
3;6;5;7;6
1;6;6;5;5,666666667
3;5;6;2;4,333333333
1;5;6;5;5,333333333
2;6;6;5;5,666666667
2;6;5;3;4,666666667
2;7;7;5;6,333333333
1;6;7;6;6,333333333
3;6;7;6;6,333333333
2;7;7;3;5,666666667
3;3;5;2;3,333333333
3;7;7;5;6,333333333
2;5;6;6;5,666666667
3;5;6;3;4,666666667
1;5;5;6;5,333333333
3;6;7;5;6
1;6;4;4;4,666666667
3;7;7;4;6
2;5;5;4;4,666666667
3;7;6;6;6,333333333
2;6;7;7;6,666666667
3;6;6;1;4,333333333
2;4;3;3;3,333333333
1;6;6;4;5,333333333
1;6;6;5;5,666666667
1;;4;3;3,5
1;5;7;3;5
1;5;7;6;6
2;6;3;4;4,333333333
1;7;6;6;6,333333333
1;6;5;7;6
3;6;6;5;5,666666667
2;7;6;6;6,333333333
2;7;6;6;6,333333333
2;6;6;4;5,333333333
1;7;6;4;5,666666667
1;5;6;6;5,666666667
3;3;5;7;5
2;3;7;4;4,666666667
3;5;7;5;5,666666667
2;4;3;3;3,333333333
3;5;6;7;6
1;6;6;7;6,333333333
3;;5;6;5,5
2;2;3;3;2,666666667
2;7;7;5;6,333333333
3;7;7;5;6,333333333
3;1;1;6;2,666666667
1;1;6;3;3,333333333
1;7;7;5;6,333333333
3;1;2;5;2,666666667
2;5;6;5;5,333333333
1;6;2;2;3,333333333
2;6;5;5;5,333333333
2;5;6;5;5,333333333
2;4;7;5;5,333333333
2;4;6;6;5,333333333
3;6;6;5;5,666666667
2;5;6;2;4,333333333
2;6;5;5;5,333333333
3;6;5;2;4,333333333
2;7;7;2;5,333333333
3;7;7;7;7
1;5;6;4;5
2;7;6;5;6
1;3;6;5;4,666666667
2;5;6;6;5,666666667
2;2;3;6;3,666666667
1;5;4;7;5,333333333
2;;5;4;4,5
2;6;5;6;5,666666667
2;7;7;7;7
2;5;6;5;5,333333333
2;6;5;4;5
2;6;7;4;5,666666667
2;6;6;5;5,666666667
1;3;2;7;4
3;6;7;4;5,666666667
3;7;7;6;6,666666667
2;;6;2;4
1;6;6;5;5,666666667
3;7;7;2;5,333333333
1;5;4;6;5
2;7;7;5;6,333333333
3;6;7;6;6,333333333
2;6;7;4;5,666666667
2;;7;7;7
1;6;6;6;6
1;6;7;3;5,333333333
1;6;6;5;5,666666667
2;6;5;6;5,666666667
2;7;7;7;7
3;7;5;7;6,333333333
1;7;7;5;6,333333333
3;5;5;6;5,333333333
1;6;7;6;6,333333333
3;5;6;3;4,666666667
1;7;7;7;7
3;6;6;5;5,666666667
1;5;6;5;5,333333333
3;5;7;6;6
3;7;7;4;6
1;5;6;2;4,333333333
3;5;5;1;3,666666667
1;6;6;4;5,333333333
3;6;7;2;5
1;4;6;3;4,333333333
1;6;5;5;5,333333333
3;5;6;2;4,333333333
3;5;3;2;3,333333333
3;7;7;5;6,333333333
1;;7;6;6,5
1;7;6;5;6
3;;7;6;6,5
1;6;7;5;6
3;7;7;7;7
2;7;7;7;7
1;5;5;2;4
2;5;1;1;2,333333333
